algoritmo,iteracion,mejor_distancia_global,mejor_distancia_iteracion,media_distancias_validas,peor_distancia_valida,rutas_validas,n_hormigas,tiempo_iteracion,tiempo_total,tau_media,tau_min,tau_max,escenario,seed
AS,99,10.834994539618492,10.938730478286743,11.466992571730824,11.997438684105873,17,94,0.4496745001524687,40.46533959987573,0.2820114686241495,5.585654998130455e-30,3.1991622809893014,1,10
AS,100,10.834994539618492,10.927974693477154,11.475990821333493,12.037528481334448,17,94,0.43835529987700284,40.903733500046656,0.2716814516052808,2.7928274990652277e-30,3.0819777183906973,1,10
AS,1,14.213028330355883,14.213028330355883,14.213028330355883,14.213028330355883,1,94,0.4140544000547379,0.41405509994365275,1.7763669006359595,1.7701647277619703,1.8405227103647503,1,11
AS,2,13.393291994929314,13.393291994929314,14.28301103040576,14.936817035079002,4,94,0.4452417001593858,0.8593423999845982,0.9129140304222507,0.8850823638809852,1.200807183246955,1,11
AS,3,13.393291994929314,13.47850026190281,14.744822434460124,15.921216808259487,6,94,0.41241840017028153,1.2718005999922752,0.4924184492858917,0.4425411819404926,1.008353193224321,1,11
AS,4,13.259754840284586,13.259754840284586,13.758234123699367,14.528545621782541,4,94,0.40433970000594854,1.6761807000730187,0.27187010651317617,0.2212705909702463,0.7952758479357412,1,11
AS,5,13.017971877008677,13.017971877008677,13.557749945670366,14.280052118003368,8,94,0.3946990000549704,2.0709194999653846,0.1879995396879696,0.11063529548512314,0.988261936710962,1,11
AS,6,12.864661991596222,12.864661991596222,12.864661991596222,12.864661991596222,1,94,0.3838337000925094,2.4547944001387805,0.10085200263683682,0.05531764774256157,0.5718632865969743,1,11
AS,7,12.864661991596222,12.88671138882637,13.177336980588734,13.48342651128769,4,94,0.4166006001178175,2.8714374999981374,0.07719576103160423,0.027658823871280786,0.5896101002598962,1,11
AS,8,11.787770576775074,11.787770576775074,12.37809477125605,13.058708019554615,3,94,0.38400900014676154,3.255487099988386,0.060000436186745165,0.013829411935640393,0.5375974827411839,1,11
AS,9,11.317904129624367,11.317904129624367,12.217677006764072,13.587194874882698,7,94,0.3908817002084106,3.6464080000296235,0.08066883123273622,0.0069147059678201965,0.8435878474139106,1,11
AS,10,11.317904129624367,11.531388729810715,12.140710275247693,12.85279930755496,10,94,0.37486969982273877,4.0213170000351965,0.11304513905706817,0.0034573529839100983,1.2466306251041441,1,11
AS,11,11.317904129624367,11.877178572118282,12.262120419740677,12.769401043653488,5,94,0.4143521001096815,4.4357090999837965,0.092487367125152,0.0017286764919550491,1.0313030702341357,1,11
AS,12,11.317904129624367,11.373266465961933,11.841403077873919,12.537746649235487,9,94,0.3877712001558393,4.8235206999816,0.11330706914605695,0.0008643382459775246,1.2764243500694592,1,11
AS,13,11.317904129624367,11.568532906472683,12.036133343353868,12.248400881886482,10,94,0.3852209001779556,5.208781599998474,0.12990911056865656,0.0004321691229887623,1.4692297306840587,1,11
AS,14,11.317904129624367,11.608930885791779,11.842868573963642,12.195608664304018,3,94,0.3974711000919342,5.606291699921712,0.087295001511383,0.00021608456149438114,0.9880468091005534,1,11
AS,15,11.317904129624367,11.660861164331436,11.866939458996058,12.150924619287252,3,94,0.3578829998150468,5.964214300038293,0.06593927685449923,0.00010804228074719057,0.7469032301872891,1,11
AS,16,11.317904129624367,11.863142669200897,12.186396234482526,12.712296411395073,5,94,0.40477779996581376,6.3690311999525875,0.06916108092913723,5.4021140373595285e-05,0.7840104520774233,1,11
AS,17,11.20555093884468,11.20555093884468,11.85415478348732,12.531255014240742,5,94,0.38910929998382926,6.758215100038797,0.07181840968702183,2.7010570186797643e-05,0.8144348177557886,1,11
AS,18,11.20555093884468,11.253078073263168,11.724465204195845,12.23127780109644,9,94,0.4033927000127733,7.16164720011875,0.10363073126651717,1.3505285093398821e-05,1.1754562301281266,1,11
AS,19,11.20555093884468,11.541401784867048,11.922923689974207,12.266961339861155,7,94,0.4073566999286413,7.569043900119141,0.10359458833715178,6.752642546699411e-06,1.1751160715437117,1,11
AS,20,11.20555093884468,11.496721025556326,11.76459821065267,12.259752202779055,6,94,0.3921891001518816,7.961273099994287,0.09677542690446715,3.3763212733497053e-06,1.0977938426144933,1,11
AS,21,11.20555093884468,11.513621225953102,11.978684884629079,12.417955059558153,7,94,0.4091479000635445,8.370460600126535,0.09993125521079356,1.6881606366748527e-06,1.1336112928694058,1,11
AS,22,10.927393831312656,10.927393831312656,11.855167633430524,12.762471158057451,11,94,0.3717575999908149,8.74225730006583,0.13189430570633323,8.440803183374263e-07,1.4962116184399497,1,11
AS,23,10.927393831312656,11.031239859759808,11.781079243336405,12.182379126548767,7,94,0.3919585000257939,9.134256199933589,0.11838076553191876,4.2204015916871317e-07,1.342917221866034,1,11
AS,24,10.927393831312656,11.229499369859695,11.697091805325313,12.338221784681082,11,94,0.3860590998083353,9.520356100052595,0.14216379245687064,2.1102007958435658e-07,1.6127161079643217,1,11
AS,25,10.927393831312656,11.4948002807796,11.705281766597182,12.194635666906834,8,94,0.38412840012460947,9.904583200113848,0.13135126332125938,1.0551003979217829e-07,1.4900589387448426,1,11
AS,26,10.927393831312656,11.091660976409912,11.612508311495185,12.073774434626102,10,94,0.39863050007261336,10.303254400147125,0.14162767073972712,5.2755019896089146e-08,1.6066359341944405,1,11
AS,27,10.927393831312656,11.30680750310421,11.808568151202053,12.463855557143688,16,94,0.44302430003881454,10.746318500023335,0.1903268840266207,2.6377509948044573e-08,2.1590842717518313,1,11
AS,28,10.927393831312656,11.09550467133522,11.746391319415785,12.240895092487335,11,94,0.4201444999780506,11.166503000073135,0.17778155298733972,1.3188754974022286e-08,2.0167690916962417,1,11
AS,29,10.927393831312656,11.26676994934678,11.639325853437185,12.132685743272305,15,94,0.42208369984291494,11.588625400094315,0.20254857478770869,6.594377487011143e-09,2.2977283867106046,1,11
AS,30,10.927393831312656,11.164449147880077,11.707395405198136,12.082854069769382,12,94,0.37971129990182817,11.96837650006637,0.1916767633147822,3.2971887435055716e-09,2.174397656759376,1,11
AS,31,10.927393831312656,11.252458661794662,11.620561102913184,12.75583702325821,11,94,0.39103539986535907,12.35945129999891,0.1793763929386402,1.6485943717527858e-09,2.0348612144196645,1,11
AS,32,10.927393831312656,11.484808579087257,11.695038613397628,11.883242033421993,8,94,0.41509749996475875,12.774593099951744,0.1500003581184648,8.242971858763929e-10,1.7016169571006674,1,11
AS,33,10.927393831312656,11.22633446007967,11.546429054190716,11.973644644021988,6,94,0.41773659992031753,13.192369800060987,0.12083167018064658,4.1214859293819645e-10,1.370724856325516,1,11
AS,34,10.927393831312656,11.124500952661037,11.717491339359965,12.69627570360899,14,94,0.4046187000349164,13.5970282999333,0.1658501104331452,2.0607429646909823e-10,1.881417917266813,1,11
AS,35,10.927393831312656,11.213725693523884,11.610082000494003,11.829964697360992,6,94,0.3819550999905914,13.979024100117385,0.12849595349346,1.0303714823454911e-10,1.4576691487636881,1,11
AS,36,10.927393831312656,11.414153076708317,11.794209946479116,12.452738426625729,14,94,0.38697580015286803,14.366174899972975,0.16895833642019042,5.1518574117274557e-11,1.9166779018603466,1,11
