escenario,algoritmo,seed,n_viewpoints,mejor_distancia,tiempo_total,iteraciones,estado
1,ACO_EAS,13,94,10.988851848989725,39.38780259992927,100,OK
1,ACO_EAS,14,94,11.336913418024778,41.03826699987985,100,OK
1,ACO_EAS,15,94,11.222391992807388,41.798692299984396,100,OK
1,ACO_EAS,16,94,11.096561916172504,41.4487542998977,100,OK
1,ACO_EAS,17,94,11.153952792286873,41.436240799957886,100,OK
1,ACO_EAS,18,94,11.367896612733603,38.16873640008271,100,OK
1,ACO_EAS,19,94,11.124667298048735,39.33524219994433,100,OK
1,ACO_EAS,20,94,11.16919220983982,42.0462247999385,100,OK
1,ACO_EAS,21,94,10.951724842190742,43.44675959995948,100,OK
1,ACO_EAS,22,94,10.759002760052681,42.941649599932134,100,OK
1,ACO_EAS,23,94,10.924855686724186,41.00899280002341,100,OK
1,ACO_EAS,24,94,10.965760339051485,40.07109500002116,100,OK
1,ACO_EAS,25,94,11.115040645003319,41.147080100141466,100,OK
1,ACO_EAS,26,94,10.971941851079464,41.06687260000035,100,OK
1,ACO_EAS,27,94,11.130746494978666,39.57692770007998,100,OK
1,ACO_EAS,28,94,11.028281636536121,41.30139370006509,100,OK
1,ACO_EAS,29,94,10.994864873588085,41.38043749984354,100,OK
1,ACO_EAS,30,94,10.908972077071667,40.491191500099376,100,OK
1,ACO_AS_RANK,1,94,10.564119588583708,40.11837889999151,100,OK
1,ACO_AS_RANK,2,94,10.691216416656971,39.51593349990435,100,OK
1,ACO_AS_RANK,3,94,10.745690360665321,40.4739270999562,100,OK
1,ACO_AS_RANK,4,94,10.763097081333399,40.74106670008041,100,OK
1,ACO_AS_RANK,5,94,10.627233900129795,40.46310259983875,100,OK
1,ACO_AS_RANK,6,94,10.678724609315395,39.67795779998414,100,OK
1,ACO_AS_RANK,7,94,10.736644424498081,40.15562040009536,100,OK
1,ACO_AS_RANK,8,94,10.699520990252495,39.99044440011494,100,OK
1,ACO_AS_RANK,9,94,10.687615603208542,49.50453469995409,100,OK
1,ACO_AS_RANK,10,94,10.583449751138687,62.18293430004269,100,OK
1,ACO_AS_RANK,11,94,10.672754131257534,58.849469899898395,100,OK
1,ACO_AS_RANK,12,94,10.825181677937508,54.46225870004855,100,OK
1,ACO_AS_RANK,13,94,10.730653673410416,61.497649600030854,100,OK
1,ACO_AS_RANK,14,94,10.647492229938507,59.10285839997232,100,OK
1,ACO_AS_RANK,15,94,10.567623812705278,57.488388600060716,100,OK
1,ACO_AS_RANK,16,94,10.582543425261974,58.56518420018256,100,OK
1,ACO_AS_RANK,17,94,10.718221604824066,58.982024299912155,100,OK
1,ACO_AS_RANK,18,94,10.699205584824085,51.916821599937975,100,OK
1,ACO_AS_RANK,19,94,10.708204440772533,43.795339200180024,100,OK
1,ACO_AS_RANK,20,94,10.575839720666409,39.55123999994248,100,OK
1,ACO_AS_RANK,21,94,10.899306081235409,41.30609229998663,100,OK
1,ACO_AS_RANK,22,94,10.645555317401886,42.483015900012106,100,OK
1,ACO_AS_RANK,23,94,10.801147058606148,47.80671799997799,100,OK
1,ACO_AS_RANK,24,94,10.799398876726627,56.6816682999488,100,OK
1,ACO_AS_RANK,25,94,10.88363365828991,59.90742199984379,100,OK
1,ACO_AS_RANK,26,94,10.795147940516472,56.746664999984205,100,OK
1,ACO_AS_RANK,27,94,10.699701860547066,60.757749300217256,100,OK
1,ACO_AS_RANK,28,94,10.583449751138687,62.151947600068524,100,OK
1,ACO_AS_RANK,29,94,10.803383097052574,57.75370409991592,100,OK
1,ACO_AS_RANK,30,94,10.725632421672344,62.935014199931175,100,OK
1,ACO_MMAS,1,94,11.748377054929733,57.509373700013384,100,OK
1,ACO_MMAS,2,94,12.017779093235731,55.53152060019784,100,OK
1,ACO_MMAS,3,94,11.690904840826988,56.718338100006804,100,OK
1,ACO_MMAS,4,94,12.061306990683079,56.02179710008204,100,OK
1,ACO_MMAS,5,94,11.918053045868874,58.098523299908265,100,OK
1,ACO_MMAS,6,94,11.853166293352842,56.30804209993221,100,OK
1,ACO_MMAS,7,94,11.729663409292698,61.553759899921715,100,OK
1,ACO_MMAS,8,94,12.252635214477777,53.00576189998537,100,OK
1,ACO_MMAS,9,94,12.090793631970882,53.12520220014267,100,OK
1,ACO_MMAS,10,94,12.171102043241262,48.79876959999092,100,OK
1,ACO_MMAS,11,94,11.745850291103125,58.02566109993495,100,OK
1,ACO_MMAS,12,94,12.000913996249437,53.139310100115836,100,OK
1,ACO_MMAS,13,94,12.017970658838749,42.02289040014148,100,OK
1,ACO_MMAS,14,94,12.104461289942265,48.925468400120735,100,OK
1,ACO_MMAS,15,94,12.354094050824642,70.5663442001678,100,OK
1,ACO_MMAS,16,94,11.941554307937622,65.43100330000743,100,OK
1,ACO_MMAS,17,94,12.05931767448783,60.975958900060505,100,OK
1,ACO_MMAS,18,94,12.32635585963726,60.12781320000067,100,OK
1,ACO_MMAS,19,94,12.144134890288115,56.02518939995207,100,OK
1,ACO_MMAS,20,94,12.188106074929237,57.72996160015464,100,OK
1,ACO_MMAS,21,94,12.075301960110664,58.93987060012296,100,OK
1,ACO_MMAS,22,94,11.978985264897346,57.75396119989455,100,OK
1,ACO_MMAS,23,94,12.155099462717772,128.99527009995654,100,OK
1,ACO_MMAS,24,94,11.86414459347725,157.96783150010742,100,OK
1,ACO_MMAS,25,94,12.004804499447346,146.69618169986643,100,OK
1,ACO_MMAS,26,94,11.855215586721897,69.99786120001227,100,OK
1,ACO_MMAS,27,94,11.544468242675066,74.04948990000412,100,OK
1,ACO_MMAS,28,94,11.926297955214977,161.4491738998331,100,OK
1,ACO_MMAS,29,94,12.03860443457961,161.94751140009612,100,OK
1,ACO_MMAS,30,94,11.800976373255253,152.44693899992853,100,OK
1,ACO_ACS,1,94,10.973008647561073,14.787097499938682,100,OK
1,ACO_ACS,2,94,10.915556393563747,13.690795599948615,100,OK
1,ACO_ACS,3,94,11.282347321510315,12.695848099887371,100,OK
1,ACO_ACS,4,94,10.864505790174007,13.15398079995066,100,OK
1,ACO_ACS,5,94,10.746321454644203,12.886507999850437,100,OK
1,ACO_ACS,6,94,11.00699033588171,12.6441023000516,100,OK
1,ACO_ACS,7,94,10.945284493267536,12.922860000049695,100,OK
1,ACO_ACS,8,94,11.282025888562202,11.841505399905145,100,OK
1,ACO_ACS,9,94,11.048313543200493,13.150295600062236,100,OK
1,ACO_ACS,10,94,10.847459249198437,13.352519299834967,100,OK
1,ACO_ACS,11,94,11.196401059627533,13.534873900003731,100,OK
1,ACO_ACS,12,94,11.006953939795494,12.712799000088125,100,OK
1,ACO_ACS,13,94,11.251972563564777,13.018585900077596,100,OK
1,ACO_ACS,14,94,10.761267893016338,12.949368400033563,100,OK
1,ACO_ACS,15,94,10.883307538926601,13.149147900054231,100,OK
1,ACO_ACS,16,94,10.908774234354496,12.680941500002518,100,OK
1,ACO_ACS,17,94,10.910306617617607,13.23931370000355,100,OK
1,ACO_ACS,18,94,10.791051983833313,13.938949400093406,100,OK
1,ACO_ACS,19,94,10.987291604280472,13.38410079991445,100,OK
1,ACO_ACS,20,94,11.01351398974657,13.752232700120658,100,OK
1,ACO_ACS,21,94,11.037314929068089,14.07297969982028,100,OK
1,ACO_ACS,22,94,11.407836511731148,12.831471800105646,100,OK
1,ACO_ACS,23,94,10.93758636713028,13.146867899922654,100,OK
1,ACO_ACS,24,94,11.01649110764265,13.027658500010148,100,OK
1,ACO_ACS,25,94,11.01163075864315,12.956682099960744,100,OK
1,ACO_ACS,26,94,11.114606596529484,13.131602100096643,100,OK
1,ACO_ACS,27,94,10.890079639852047,13.278560200007632,100,OK
1,ACO_ACS,28,94,10.920986130833626,13.481631299946457,100,OK
1,ACO_ACS,29,94,11.061792820692062,13.173594899941236,100,OK
1,ACO_ACS,30,94,11.014281794428825,12.847887499956414,100,OK
1,SA,1,94,13.526088044047356,3.67793140001595,2488,OK
1,SA,2,94,13.14401114732027,4.024950599996373,2492,OK
1,SA,3,94,12.531531270593405,3.86940829991363,2489,OK
1,SA,4,94,12.653373789042234,4.2034010998904705,2489,OK
1,SA,5,94,13.195989847183228,3.7305904999375343,2487,OK
1,SA,6,94,12.78461492806673,3.912805600091815,2488,OK
1,SA,7,94,12.895988538861275,4.23846899997443,2487,OK
1,SA,8,94,13.192805361002684,3.9076346000656486,2492,OK
1,SA,9,94,13.109932657331228,4.190969099989161,2487,OK
1,SA,10,94,13.139565609395504,4.017032000003383,2491,OK
1,SA,11,94,13.47753893584013,4.351850199978799,2490,OK
1,SA,12,94,13.551603179425001,4.284340600017458,2487,OK
1,SA,13,94,12.605595722794533,4.147063999902457,2487,OK
1,SA,14,94,12.95568510144949,4.650560900103301,2487,OK
1,SA,15,94,12.831242769956589,4.333863699808717,2488,OK
1,SA,16,94,13.092449311167002,4.156586600001901,2483,OK
1,SA,17,94,12.92888381704688,3.9339232998900115,2492,OK
1,SA,18,94,12.99051133543253,4.121508799958974,2489,OK
1,SA,19,94,13.207991760224104,4.366650100098923,2490,OK
1,SA,20,94,13.033925082534552,4.07772389985621,2487,OK
1,SA,21,94,13.319981832057238,4.210054900031537,2487,OK
1,SA,22,94,12.751339945942163,1.6956877000629902,2484,OK
1,SA,23,94,12.740209970623255,1.5972382000181824,2489,OK
1,SA,24,94,12.552996221929789,2.274418800137937,2485,OK
1,SA,25,94,13.65758316218853,3.945634000003338,2489,OK
1,SA,26,94,12.5520252995193,4.004299899796024,2491,OK
1,SA,27,94,12.732141505926847,3.923223199788481,2489,OK
1,SA,28,94,12.688015073537827,4.1238298998214304,2485,OK
1,SA,29,94,13.357096180319786,3.9820829001255333,2485,OK
1,SA,30,94,13.063195429742336,3.9496982998680323,2488,OK
2,ACO_AS,1,72,11.367192134261131,86.0417045999784,100,OK
2,ACO_AS,2,72,11.307471960783005,88.85222330014221,100,OK
2,ACO_AS,3,72,11.307471960783005,79.93642639997415,100,OK
2,ACO_AS,4,72,11.346279487013817,77.28624800010584,100,OK
2,ACO_AS,5,72,11.24453978985548,87.93726090015844,100,OK
2,ACO_AS,6,72,11.258523613214493,71.457266200101,100,OK
2,ACO_AS,7,72,11.31103128939867,63.392277400009334,100,OK
2,ACO_AS,8,72,11.280631184577942,89.47000990016386,100,OK
2,ACO_AS,9,72,11.309092119336128,92.06232409994118,100,OK
2,ACO_AS,10,72,11.413789853453636,90.28786889999174,100,OK
2,ACO_AS,11,72,11.41986408829689,92.68635650002398,100,OK
2,ACO_AS,12,72,11.420758612453938,91.45367870014161,100,OK
2,ACO_AS,13,72,11.346279487013817,92.15093560004607,100,OK
2,ACO_AS,14,72,11.24453978985548,90.20889139990322,100,OK
2,ACO_AS,15,72,11.367192134261131,86.38469229987822,100,OK
2,ACO_AS,16,72,11.316333949565887,84.58518699998967,100,OK
2,ACO_AS,17,72,11.24453978985548,79.37740300013684,100,OK
